Metrics/EnvironmentSteps,Metrics/AverageReturn
5,-1.3897155263008123
9,-1.4758282579087014
13,-1.5174052646685527
16,-1.6344469378883508
18,-1.9948311555178302
21,-1.6500257073797373
24,-1.6718864271325022
26,-1.9236157079922025
29,-1.6370509787722902
31,-1.9942262267118505
33,-1.9944990523567239
35,-1.9558365335091756
38,-1.0162056051233084
42,-1.479240735202916
45,-0.983257593742109
47,-2.00869887679027
50,-1.6391154694354617
57,-1.215101882155356
60,-1.6397893933109426
62,-2.0088040635229536
64,-1.9234280006935314
68,-1.4278738989704705
71,-1.6413959181550588
77,-1.2854648217411992
81,-1.3995915616927235
85,-1.4699568260855953
87,-1.9943944435305374
90,-1.6381265210458997
96,-1.3063649453581536
99,-1.6641685761585976
101,-2.00882358858199
103,-2.0061892507100163
105,-2.008699635262909
107,-1.92502203057798
110,-1.6352205310020629
113,-1.6230412760412818
116,-1.6408450687360914
119,-1.6347676848749026
123,-1.479893884106437
127,-1.456379684806
129,-1.9236030020185844
132,-1.6398722601571423
136,-1.5020495462512184
139,-1.6821948383416618
142,-1.6380231875660207
144,-2.008662532981236
147,-1.639800840027453
150,-1.639706670912088
153,-0.9315391989222688
155,-2.00885229697571
157,-1.9558014892511577
159,-1.957037450858695
163,-1.4785510713769647
168,-1.3776743456495357
170,-2.0086846517380104
173,-1.6639952911740725
177,-0.9540175727151479
180,-1.6417704654602503
185,-1.4159786973720068
190,-1.3223764847987027
193,-1.6718737109957136
197,-1.4776143924609566
200,-1.6411087256916936
205,-1.3797484442754857
207,-2.008783196627364
211,-1.4787971762918328
214,-0.9958081206083532
217,-1.671895605215214
227,-1.194961615394967
229,-2.0058673251661143
231,-2.0058261943014983
235,-1.4802450476097615
240,-1.3808628696770806
243,-1.6707265201261137
246,-1.6355282537280953
250,-1.4886710073528255
252,-2.0087505302088733
256,-1.4847017357328225
259,-1.587678186966117
266,-1.2707818278064937
268,-2.0087800696038123
270,-1.9526754303548417
273,-1.6180607392860435
276,-1.6719475504242112
280,-1.4553070053789603
282,-1.9555559880743623
285,-1.6371743219213009
289,-1.409190998576424
291,-2.008754688092297
293,-2.0087353552289784
295,-2.008632755151213
298,-1.638752079415194
302,-0.94488595239128
304,-1.923531919956634
310,-1.2990569086274222
313,-0.9956558180673686
316,-1.6632323059820537
319,-1.6375268111297874
322,-1.6386795074603135
327,-0.9832914005485749
329,-2.00873937597395
331,-1.9239269237089585
333,-2.008692182561024
339,-1.2611032460377547
342,-1.6255984727206017
346,-1.4801096647078014
349,-1.6380492278584795
352,-1.6641276639338016
355,-1.0144264801896068
357,-2.008657868734736
362,-1.3351941777709933
365,-1.6411566261014352
368,-1.6433307437367943
370,-2.005916234635727
372,-1.9235339597423373
378,-1.3544652660004368
380,-1.924107261085676
383,-1.6390663437152455
385,-2.0087109246546753
388,-1.6398193066267852
393,-0.9842285794966678
399,-1.2851328204137733
401,-1.9233927945296658
405,-1.4026029737983454
407,-2.0087605119841765
414,-1.2137178276416478
416,-2.008603865187295
419,-1.6377017105942944
422,-1.6641150509146128
425,-1.639012928457733
428,-1.635743095976461
431,-1.6411397707300812
435,-1.435700607792211
437,-1.9941219942540913
442,-1.3434610976390866
447,-1.386795288881843
449,-1.95524245066208
454,-1.3847438145917097
456,-1.924047843787125
459,-1.6539372076203975
461,-1.9518165038727522
466,-0.9605974784986963
471,-1.0214461846976912
476,-1.3636069384802347
480,-1.4844732243033865
483,-1.6413830905438864
487,-1.4312838896413247
493,-1.3218361540447539
497,-1.4589189293914488
499,-1.9941830405501924
503,-1.517326792750336
507,-1.485647966279602
510,-1.6410378576245364
513,-1.639424588908632
517,-1.4336424919872042
521,-1.501710500786126
523,-1.9235966234365858
525,-2.008669377642115
528,-1.6416890930193715
534,-1.312905809113076
536,-2.0087556684865455
538,-2.0087304623085824
542,-1.4491139507464523
550,-1.2195975794082596
553,-1.0139786618011553
557,-1.4598315434434106
560,-1.0164441430304496
564,-1.4328895351588342
