Metrics/EnvironmentSteps,Metrics/AverageReturn
3,-1.617155745217269
5,-2.005717393849099
8,-1.5768549071290179
10,-1.9263637647988194
17,-1.2576676087644814
24,-1.259516859237403
27,-1.6402606501500667
31,-1.4536851244280842
37,-1.3294638106472572
39,-2.0085430505146635
42,-1.6430975548849593
48,-1.293073373184781
51,-1.6417935066852773
54,-1.6411016181511506
56,-2.0086430305499965
60,-1.491145042979984
62,-1.9237260696022536
67,-1.341021371036018
71,-1.4601498448847572
73,-2.008554592136912
76,-1.6363282231561935
80,-1.4701722999688394
83,-1.6341268668615496
85,-1.9245061693705214
88,-1.6717423226851968
92,-1.4316635750307733
96,-0.9814287865372809
101,-1.349503665951424
105,-1.4789807942632969
108,-1.6818932754431142
111,-1.6737959760066066
114,-1.6631638314017962
116,-2.0085103418508683
118,-2.0085943908441615
121,-1.0064413067757076
124,-1.6628970738787425
128,-1.4523192272421395
132,-1.4885846986907039
135,-1.6352792813600712
137,-1.99393602815127
141,-1.4787094652488288
146,-1.3945260363475982
151,-1.36378212668657
154,-1.598028066092749
156,-2.0059767719020534
161,-1.3807192944702844
166,-1.3877014883913485
169,-1.6345871435681076
173,-1.4717004772665139
176,-1.6399418754818618
180,-1.5038427605884932
182,-2.008606720568592
185,-1.5924229094863904
187,-1.9942169007509172
189,-1.9233934632270087
191,-1.9244684222140187
195,-1.4790561955994972
197,-1.9235560149845137
201,-1.4555673404503335
205,-1.449964245432897
210,-1.2834800644760602
213,-1.6407150373089179
216,-1.022009210627269
220,-1.5022291388944269
223,-1.6378192974742622
225,-1.9242717324972165
227,-1.9943442086182839
230,-1.6254337057757577
232,-1.9609978771973644
235,-1.639510680593417
238,-1.6351888502750176
240,-1.923908628067895
242,-2.0085917632068755
244,-1.9242904099880316
248,-1.4503187348753268
250,-2.0058338861551683
254,-1.4886062553499797
257,-1.590882714413592
264,-1.018942104729056
267,-1.663291625009115
269,-2.005929508404245
272,-1.6358519726740042
274,-2.008622142272321
277,-1.0184175720339095
280,-1.6269076104468674
282,-2.005769107204512
285,-1.635986537227499
290,-1.3200662637981284
293,-1.6359729097987448
296,-1.6349134185425724
301,-1.3343455183334174
303,-2.005823739350491
305,-2.0085060426434116
308,-1.6411513006968466
312,-0.9909972483854599
316,-1.4537602381600145
319,-1.6405466852600676
324,-0.9947512873774299
328,-1.4603013331051593
331,-1.0185258837423086
334,-1.6427009632889016
337,-1.6641443280395938
339,-2.005783530511779
343,-1.4794656477472234
349,-0.928327921196565
352,-1.6819322392799265
355,-1.6348242912425925
359,-1.4609784603000084
363,-1.4181969568726487
366,-0.990028398031357
368,-2.0085697906644637
376,-1.208830884766304
379,-1.637789827894687
383,-1.4314583583162115
385,-1.9943783790196337
389,-1.5017460588753666
393,-1.4346877238847238
396,-1.6632708650152377
398,-2.0086817395691208
401,-1.6376548555322088
408,-1.2779953027781363
411,-1.5937970057579882
413,-2.0058170691196513
416,-1.6628009783417586
418,-1.92338678216736
422,-1.4282052401225063
429,-1.2516655072832665
434,-1.3481597494854445
438,-1.4551270314735585
441,-1.670806301223994
443,-2.0085363604071693
446,-1.6402518882164439
450,-1.4703198033116855
452,-1.9588584697908806
456,-1.4759988654642922
459,-1.636386849667085
463,-1.4605410569263562
466,-1.627037879309625
469,-1.6417291105331364
473,-1.411486230540666
476,-1.6269159732131604
479,-1.6253514854093638
481,-1.9581853617525629
483,-1.9241070627580181
485,-2.0057854667391406
489,-1.4761553793320665
491,-2.008581674565695
495,-0.9917249102015191
497,-2.0086164336080845
499,-2.008553857798519
502,-1.6718312850476256
511,-0.9614067839905339
514,-1.6385027184389946
516,-1.9239381631294563
519,-1.6338079359653872
521,-1.9597912732466742
526,-0.9741903394225071
529,-1.6392147931038281
532,-1.639830146907893
537,-1.37480583385002
539,-1.95657746511018
541,-2.008517197704175
543,-1.9586448738008184
545,-2.008623048480788
549,-1.4721346933250912
554,-1.366760630820609
559,-1.330657809174475
562,-1.6398165725970955
569,-1.2339832962379103
572,-1.6406435802821318
574,-2.0085142954115556
578,-1.466793165827927
582,-1.4761212382712487
584,-2.0085852949458536
590,-0.97314012666842
593,-1.6380020061291134
597,-1.4760289720676907
599,-1.957164305821909
602,-0.986396498611149
610,-0.9886720041507464
612,-2.008539455129793
614,-2.008489349193127
618,-1.4763502590045743
621,-1.6819753993841748
624,-0.9824836373477585
626,-2.0085549756994325
628,-2.0084963441527295
631,-1.6644035115574276
634,-1.6371008566633556
636,-2.00851139157136
639,-1.6639994854287445
644,-0.9787617987169914
649,-1.3887000437117654
652,-1.625268463260978
654,-2.008592075944129
656,-2.008621767797137
660,-1.4085603581943558
663,-1.6703073865013813
671,-1.1437201161234207
675,-1.4283751757142245
678,-1.637065280230736
680,-2.008546346350496
684,-1.4667320609061947
688,-1.4559712690724327
690,-1.9235257013975757
693,-1.6819648276423054
696,-1.6270280685345497
699,-1.6706860168733133
703,-1.4559778226044457
707,-1.453053800735316
709,-1.9575342178093764
711,-2.0058045023736755
715,-1.4255382309478088
717,-1.9557383755810953
720,-1.6371343089883081
722,-2.00856515909127
726,-1.399972465910638
728,-2.008577917786495
731,-1.6389655277655795
734,-1.6416826812793162
736,-2.0085424859256698
738,-1.9235359515795118
740,-1.9568077362998142
744,-1.4598329167864936
746,-1.923664801946107
749,-1.640367760306594
752,-1.0138313821981633
755,-0.9638846586690306
758,-1.6378549766020634
760,-2.008502276351696
765,-1.4002573725187784
767,-2.0085541854600186
771,-1.4664914361013368
774,-1.6819478998717505
778,-1.448876532278197
781,-1.6170556396461133
783,-2.0085628393573884
786,-1.639730876824694
789,-0.9632815137350798
791,-2.0085653268057455
795,-1.458871143915915
799,-1.4725305437876524
802,-1.6163071957253863
806,-1.436355530231867
809,-1.6396254392025391
811,-1.9941951617109246
813,-2.0058622645732465
817,-1.5172110801229903
820,-1.0234716162515693
824,-1.4760002584685399
827,-1.5904988464316172
831,-1.4762462187468792
835,-1.4281784549472851
840,-1.3714173746270206
842,-2.0087692576892784
844,-2.0086554202377407
847,-1.6171250713018264
849,-1.9940799750030054
854,-1.329587816601318
859,-1.3372669791527343
861,-1.9244036591465825
863,-2.0085536652230442
869,-1.3268840323924789
872,-1.6344176702929645
876,-1.4336043389357138
878,-2.005782833161941
881,-1.6251493225160127
883,-1.9237550834403057
886,-1.5897041031479084
893,-1.2676873119412164
895,-2.0085918861224012
898,-1.642264056666339
903,-1.3905011132478784
906,-1.6336790632885985
911,-1.3239298464074793
915,-1.409794970777741
917,-1.9236679235501573
922,-1.3739693745271269
926,-1.4763064034481328
930,-1.4784169133525107
934,-1.471666001589056
937,-1.6640362965796225
940,-1.6170258084211804
945,-0.9647844140863177
949,-1.451435186889982
952,-1.6164465297459947
955,-1.6270096297291305
957,-2.00571493019161
960,-1.63939887301689
963,-1.6167414295127003
968,-1.005453681414211
970,-2.00860560878345
974,-1.4667784281156944
979,-0.9521951689067645
981,-1.923528547740823
985,-1.4768026922636244
987,-1.9940733631469072
989,-2.008702005862525
991,-2.0085861413103214
993,-1.9941957194884732
997,-1.401774327857959
1001,-1.4794069282259608
1005,-1.4885211642573135
1009,-1.473138292067117
1011,-2.0085820242029633
1016,-1.3699243360639408
1018,-1.9940442039068427
1022,-1.4668654495240727
1029,-1.258656217511034
1031,-1.9596959984798206
1034,-1.6426362173234903
1037,-1.637362279844848
1039,-1.9585692621214834
1045,-0.9217688047109561
1047,-1.9939551034023653
1052,-1.3345809112100417
1055,-1.6412390143877804
1059,-1.4460148710404992
1063,-1.4760231570520883
1068,-1.3516012740337984
1071,-1.640079987723583
1074,-1.6718364106909203
1077,-1.6408585909140154
1084,-1.2290277777203993
1086,-2.0085377132486064
1089,-1.639616978064354
1094,-1.3486833160710456
1096,-2.008619840169855
1099,-1.6407655737719438
1108,-1.164137666787132
1112,-1.4841597381381828
1120,-0.999842814431269
1123,-1.0184096214316571
1125,-1.9235300915823355
1131,-1.2982840729962946
1135,-0.942945621914518
1137,-2.0058618100552112
1140,-1.6377046565204036
1144,-1.4556842309833482
1146,-2.0086052294905947
1148,-2.008544606951962
1154,-0.9401518230424154
1157,-1.634618708933606
1164,-1.2835466662257315
1167,-1.636278637621975
1172,-1.3847521205540292
1174,-2.008551121547529
1177,-1.6346731021105765
1182,-1.3994919272985034
1186,-0.9906909848544592
1190,-1.4548518154467855
1193,-1.6364502148426137
1197,-1.4796716216226011
1199,-2.008596654060848
1201,-1.9234263239452418
1204,-1.0169359069611854
1209,-1.3802770269417297
1213,-1.4599500178248435
1215,-1.9605200186201166
1218,-1.6353551394638923
1221,-1.5908358489869947
1223,-1.9236477243055357
1225,-2.0086461557525257
1230,-1.354002515201342
1233,-1.6165757734786645
1236,-1.6819113475868337
1240,-1.4804256341468993
1243,-0.9257516276123713
1245,-2.0085877794575233
1249,-1.432613237894135
1251,-2.0085386699466325
1253,-2.0085620044687236
1256,-1.6367731451817227
1258,-1.9581025449992455
1261,-1.6819856379194562
1263,-1.9586962962750285
1268,-1.390961209382294
1271,-1.6820329252329953
1273,-2.0085302679867825
1276,-1.6637636348594047
1279,-1.635109971101671
1282,-1.6818892095623248
1286,-1.4637391651069767
1293,-0.9832060866858457
1295,-2.008586771388762
1297,-2.0085782034078807
1299,-2.008585151948954
1302,-1.016100284778268
1304,-2.0085888281648305
1307,-1.6629826481576586
1310,-1.6343447549736545
1315,-1.3740573233080806
1318,-1.616352389395195
1321,-0.9820334685077404
1325,-0.9904598922470912
1329,-1.4530745590236358
1335,-1.3038982226482883
1338,-1.6252611500541352
1341,-1.639603309341295
1344,-1.6352740730175974
1348,-1.5027885107730345
1350,-2.008625012625679
1354,-1.4457628526962423
1358,-1.4604077374072464
1361,-1.0155917329579671
1366,-0.9701159245458744
1369,-0.9861522357203659
